,Smiles,non-F Smiles,model_name,train_r^2,train_mse,train_mae,oos_r^2,oos_mse,oos_mae
149,O=C(Nc1ccccc1)C1CC2(C1)CC(F)(F)C2,O=C(Nc1ccccc1)C1CC2(CCC2)C1,36_O=C(Nc1ccccc1)C1CC2(C1)CC(F)(F)C2_O=C(Nc1ccccc1)C1CC2(CCC2)C1,0.849,0.045,0.162,0.979,0.001,0.019
150,O=C(c1ccccc1)N1CCC(F)CC1,O=C(c1ccccc1)N1CCCCC1,99_O=C(c1ccccc1)N1CCC(F)CC1_O=C(c1ccccc1)N1CCCCC1,-0.426,0.44,0.506,-1.351,0.003,0.049
151,O=C(Nc1ccccc1)C1CCC(F)(F)CC1,O=C(Nc1ccccc1)C1CCCCC1,0_O=C(Nc1ccccc1)C1CCC(F)(F)CC1_O=C(Nc1ccccc1)C1CCCCC1,0.817,0.056,0.181,0.988,0.0,0.014
152,O=C(N[C@@H]1CC[C@H]1C(F)F)c1ccccc1,O=C(NC1CCC1)c1ccccc1,170_O=C(N[C@@H]1CC[C@H]1C(F)F)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.923,0.024,0.115,-0.209,0.0,0.004
153,O=C(Nc1ccccc1)C1CC2(CCC2)C1,O=C(Nc1ccccc1)C1CC2(CCC2)C1,34_O=C(Nc1ccccc1)C1CC2(CCC2)C1_O=C(Nc1ccccc1)C1CC2(CCC2)C1,0.881,0.036,0.151,0.0,0.0,0.001
154,O=C(c1ccccc1)N1CC2CCCC(C2)C1,O=C(c1ccccc1)N1CC2CCCC(C2)C1,79_O=C(c1ccccc1)N1CC2CCCC(C2)C1_O=C(c1ccccc1)N1CC2CCCC(C2)C1,0.855,0.045,0.156,0.0,0.0,0.001
155,O=C(c1ccccc1)N1CCC(F)(F)CC1,O=C(c1ccccc1)N1CCCCC1,86_O=C(c1ccccc1)N1CCC(F)(F)CC1_O=C(c1ccccc1)N1CCCCC1,0.813,0.058,0.177,-10.462,0.037,0.186
156,O=C(c1ccccc1)N1CCC(C(F)F)CC1,O=C(c1ccccc1)N1CCCCC1,142_O=C(c1ccccc1)N1CCC(C(F)F)CC1_O=C(c1ccccc1)N1CCCCC1,0.793,0.064,0.202,0.568,0.008,0.083
157,C[C@@H]1C[C@@H]1C(=O)Nc1ccccc1,C[C@@H]1C[C@@H]1C(=O)Nc1ccccc1,50_C[C@@H]1C[C@@H]1C(=O)Nc1ccccc1_C[C@@H]1C[C@@H]1C(=O)Nc1ccccc1,0.806,0.06,0.189,0.0,0.0,0.001
158,O=C(NCCC(F)(F)F)c1ccccc1,CCNC(=O)c1ccccc1,137_O=C(NCCC(F)(F)F)c1ccccc1_CCNC(=O)c1ccccc1,0.919,0.025,0.122,0.988,0.001,0.033
159,O=C(Nc1ccccc1)C12CC(C(F)F)(CO1)C2,O=C(Nc1ccccc1)C12CC(CO1)C2,38_O=C(Nc1ccccc1)C12CC(C(F)F)(CO1)C2_O=C(Nc1ccccc1)C12CC(CO1)C2,0.866,0.042,0.157,0.995,0.0,0.014
160,O=C(NC1CCC1(F)F)c1ccccc1,O=C(NC1CCC1)c1ccccc1,149_O=C(NC1CCC1(F)F)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.89,0.034,0.144,0.993,0.0,0.01
161,O=C(c1ccccc1)N1CCC(CF)C1,O=C(c1ccccc1)N1CCCC1,133_O=C(c1ccccc1)N1CCC(CF)C1_O=C(c1ccccc1)N1CCCC1,0.924,0.023,0.121,0.463,0.004,0.057
162,O=C(c1ccccc1)N1CC(F)(F)C1,O=C(c1ccccc1)N1CCC1,89_O=C(c1ccccc1)N1CC(F)(F)C1_O=C(c1ccccc1)N1CCC1,0.828,0.052,0.172,0.99,0.0,0.01
163,O=C(NC1CCC(F)(F)C1)c1ccccc1,O=C(NC1CCCC1)c1ccccc1,152_O=C(NC1CCC(F)(F)C1)c1ccccc1_O=C(NC1CCCC1)c1ccccc1,0.745,0.08,0.229,0.987,0.0,0.012
164,O=C(N[C@@H]1CC[C@H]1CF)c1ccccc1,O=C(NC1CCC1)c1ccccc1,171_O=C(N[C@@H]1CC[C@H]1CF)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.815,0.058,0.188,0.589,0.001,0.032
165,O=C(Nc1ccccc1)C1CCC1(F)F,O=C(Nc1ccccc1)C1CCC1,17_O=C(Nc1ccccc1)C1CCC1(F)F_O=C(Nc1ccccc1)C1CCC1,0.923,0.024,0.118,0.999,0.0,0.003
166,O=C(N[C@@H]1C[C@@H]2[C@H](C1)C2(F)F)c1ccccc1,O=C(N[C@H]1C[C@@H]2C[C@@H]2C1)c1ccccc1,55_O=C(N[C@@H]1C[C@@H]2[C@H](C1)C2(F)F)c1ccccc1_O=C(N[C@H]1C[C@@H]2C[C@@H]2C1)c1ccccc1,0.856,0.045,0.165,0.699,0.0,0.011
167,O=C(NCCF)c1ccccc1,CNC(=O)c1ccccc1,126_O=C(NCCF)c1ccccc1_CNC(=O)c1ccccc1,0.76,0.074,0.214,,0.001,0.023
168,O=C(NC1(C(F)F)CCC1)c1ccccc1,O=C(NC1CCC1)c1ccccc1,103_O=C(NC1(C(F)F)CCC1)c1ccccc1_O=C(NC1CCC1)c1ccccc1,0.865,0.042,0.163,0.894,0.007,0.086
169,C[C@@H]1C[C@H]1C(=O)Nc1ccccc1,C[C@@H]1C[C@H]1C(=O)Nc1ccccc1,49_C[C@@H]1C[C@H]1C(=O)Nc1ccccc1_C[C@@H]1C[C@H]1C(=O)Nc1ccccc1,0.825,0.054,0.181,0.0,0.004,0.063
170,O=C(Nc1ccccc1)C1CCCC(F)(F)C1,O=C(Nc1ccccc1)C1CCCCC1,22_O=C(Nc1ccccc1)C1CCCC(F)(F)C1_O=C(Nc1ccccc1)C1CCCCC1,0.906,0.029,0.129,0.985,0.0,0.009
171,CC(F)(F)CCC(=O)Nc1ccccc1,CCCCC(=O)Nc1ccccc1,27_CC(F)(F)CCC(=O)Nc1ccccc1_CCCCC(=O)Nc1ccccc1,0.878,0.038,0.153,0.991,0.0,0.008
