,angle_R1X1R2,f_to_fg,f_atom_fraction,PPSA5,nARing,angle_R2X2R1,nFaHRing,distance_between_atoms_in_f_group_centers,nFARing,mol_num_cycles,f_freedom,identificator,mol_volume,nO,WPSA5,nFAHRing,dihedral_angle,RPCS,FPSA3,PNSA5,nAHRing,avg_atoms_in_cycle,angle_X1X2R2,nFaRing,naRing,nFHRing,nHRing,PBF,nFRing,TASA,dipole_moment,chirality,mol_weight,nN,tpsa+f,naHRing,nC,GeomShapeIndex,cis/trans,angle_X2X1R1,logP
13,130.86964492771514,2.0,0.3333333333333333,17.754422439018153,1,130.331001217599,0,5.219897288723282,0,2,1,0,198.89,1,7.488362115887142,0,6.7918052024127625e-06,11.354340934344345,0.0356036581594652,-22.589587616601133,0,5.0,144.83596461814386,0,1,0,0,0.6978640012697866,0,317.67049908245974,0.5716602140643124,0,150.12,1,60.97386890234026,0,12,0.7200972195360423,1,145.2579462466399,2.23
14,169.79160749833093,2.0,0.1666666666666666,16.82011773012949,1,129.23563326470713,0,1.8039984622508465,0,2,1,0,193.21,1,6.941409257755571,0,179.99998154589412,25.853681157893934,0.0370496197797817,-17.286904910300787,0,5.0,113.98158980361644,0,1,0,0,0.6360348196849155,0,341.5017900775396,0.3579609265782811,0,132.13,1,45.73619392454,0,12,0.7593300167015813,2,143.29593505104825,2.14
15,109.33238312364874,2.0,0.1666666666666666,16.866718991875672,1,105.72149852281362,0,3.818519902589083,0,2,1,0,194.26,1,7.058125793299357,0,1.3131215713015022e-05,26.47516387803562,0.0360419988445948,-17.838229845013615,0,5.0,125.74403414914566,0,1,0,0,0.5579520677080879,0,337.2904089208858,0.7948984153856945,0,132.13,1,43.97661425914176,0,12,0.8215237924030663,1,131.1630705155388,1.96
16,119.18916239413664,2.0,0.5,16.57978659542037,1,132.99208711752286,0,2.4642228820078955,0,2,0,0,167.67,1,6.217361375333923,0,75.00362477736019,14.07191387308522,0.0310907493683302,-27.180317288857257,0,4.5,148.3658278275483,0,1,0,0,0.3169976971838015,0,249.22138985047764,0.1486146374994066,0,122.07,1,62.0179301143596,0,10,0.8198653500037173,0,122.68163878204732,2.07
17,104.91231253467404,2.0,0.4,17.13668409366511,1,108.79353198220863,0,1.7714018996803949,0,2,0,0,182.46,1,6.741538959836983,0,35.61363319832701,1.4233166724471105,0.0297195654638996,-23.777178388332644,0,5.0,136.05986357879306,0,1,0,0,0.4489483872799891,0,290.98601265610563,0.4925682300359092,0,136.1,1,63.09458068110308,0,11,0.934236397279258,0,117.16978259833265,2.03
18,150.33926952181153,1.0,0.4,15.673065118628568,1,176.50597784524396,0,1.4815634351916789,0,2,0,0,182.69,1,6.239905527862647,0,179.99998079372608,4.345586434353479,0.0310250638753075,-26.73332492796613,0,5.0,162.08340164491457,0,1,0,0,0.455781313231095,0,279.89147082532264,0.6166138522204985,0,136.1,1,63.25618083820541,0,11,0.9584364398926456,0,145.47748314380135,2.26
19,115.76584540926686,2.0,0.3333333333333333,17.7161041394295,1,129.10106654503724,0,1.551864520729773,0,2,0,0,197.51,1,7.29351956078817,0,106.9557608051152,0.2467476150590761,0.02873200821835,-21.66562027703755,0,5.5,127.23888378940072,0,1,0,0,0.5260974572968908,0,319.02190014764835,0.1098322616914486,0,150.12,1,58.919431426788144,0,12,0.8750309924347206,0,111.6790415851758,2.25
20,108.7745287104272,2.0,0.3333333333333333,15.952977537968284,1,123.53006248921083,0,3.0674227132642526,0,2,0,0,197.58,1,6.658032029851789,0,12.155855482703776,0.0,0.0301512920488097,-24.33289574121703,0,5.5,147.16615451387398,0,1,0,0,0.486297521971699,0,307.99766312898794,0.3724919646025041,0,150.12,1,62.594533219138654,0,12,0.8534866286730589,0,116.61326770094976,2.5
21,117.06887434337962,2.0,0.2857142857142857,18.08647240499828,1,128.19381468190937,0,2.6204648746429853,0,2,0,0,211.82,1,7.693980608517341,0,110.82578410233648,0.0,0.0287524904182823,-19.725208071202463,0,6.0,123.04611442715272,0,1,0,0,0.5724553636189635,0,344.00127364111046,0.0931254728787247,0,164.15,1,57.07105645886654,0,13,0.8144728826958533,0,111.46442290312208,2.5
22,102.12593435365336,2.0,0.2857142857142857,15.631645745571442,1,115.99148154521264,0,1.20942265304362,0,2,0,0,213.75,1,6.805890382749759,0,27.6562050624301,0.0,0.0266244724957234,-24.0517843628076,0,6.0,138.84748079595417,0,1,0,0,0.6000659810811694,0,327.1927450782173,0.4968507892482408,0,164.15,1,61.23427652978857,0,13,0.9385598360947472,0,110.67119420363566,2.72
23,119.48221770226088,1.0,0.25,18.123468578515816,1,133.41999014510694,0,2.792394969540747,0,2,0,0,228.92,1,8.059670792681985,0,122.82534248442886,0.0,0.0287940693543306,-19.27573251178975,0,6.5,120.84171762581884,0,1,0,0,0.7082818468874233,0,363.60746666654194,0.037531181695505,0,178.18,1,57.26214085639558,0,14,0.8759497765744838,0,109.66921259293144,2.9
24,99.01870647463228,2.0,0.25,16.08749460490176,1,99.71393638377472,0,3.194681424994396,0,2,0,0,229.26,1,7.21481352112393,0,2.0613654104193184,0.0,0.025550679573839,-22.043953249044648,0,6.5,123.98255442394064,0,1,0,0,0.8142578068027774,0,350.43195156113467,0.6032148258350407,0,178.18,1,55.969998544239736,0,14,0.968041201697476,0,111.56070270996392,3.03
25,127.27509114253854,2.0,0.25,16.758054002843952,1,155.45131772372213,0,1.0749109682400833,0,2,0,0,229.16,1,7.54550351062429,0,119.8927676794286,0.0,0.0304795288395847,-20.32776540553962,0,6.5,151.40627319865175,0,1,0,0,0.8058170498994124,0,354.9328361347001,0.7861734779637657,0,178.18,1,60.02719899113029,0,14,0.9285285996388408,0,124.69380934006212,2.95
26,,1.0,0.4,17.58746701126204,0,,0,,0,1,0,0,191.12,1,7.240215505252285,0,,0.0,0.0330661529823555,-23.18844843053099,0,6.0,,0,1,0,0,0.5518692304798849,0,325.0485220547848,0.6576720390589873,0,138.11,1,61.94861167846355,0,11,0.7440600402571431,0,,2.26
27,,1.0,0.4,17.007370724437926,0,,0,,0,1,0,0,191.45,1,7.005379296262694,0,,0.0,0.0328696066784384,-21.92640920447795,0,6.0,,0,1,0,0,0.572703922860685,0,326.06309915644056,0.0270496308085316,0,138.11,1,62.232391505936455,0,11,0.7859229372698834,0,,2.12
28,,1.0,0.4,17.045028850976927,0,,0,,0,1,1,0,191.59,1,7.229524511875352,0,,13.751576928943855,0.0371429251151406,-25.33046957717484,0,6.0,,0,1,0,0,0.2809318964127172,0,299.3729834286962,0.6494016365414849,0,138.11,1,61.85345097114745,0,11,0.9643430018601568,0,,2.06
29,,0.0,0.0,14.90336380830188,1,,0,,0,2,1,0,157.28,1,5.388031062161855,0,,29.4963111975155,0.0360232709503461,-14.639989115506346,0,4.5,,0,1,0,0,0.2890030212148852,0,325.1362064131209,0.5010547781392878,0,86.09,1,29.1,0,10,0.8343730701758801,0,,1.92
30,,0.0,0.0,15.254802996841155,1,,0,,0,2,1,0,171.81,1,5.791747265071259,0,,21.742879230255003,0.0347973760625621,-13.36263793066799,0,5.0,,0,1,0,0,0.4735359524552176,0,346.099749372459,0.5135142852675479,0,100.12,1,29.1,0,11,0.9261913075297316,0,,2.26
31,,0.0,0.0,15.648258605828287,1,,0,,0,2,1,0,187.35,1,6.256761800025264,0,,21.38072012380494,0.0328644838610689,-12.492190893804027,0,5.5,,0,1,0,0,0.5545652979017571,0,365.42440358207233,0.5089160785859065,0,114.14,1,29.1,0,12,0.8907746986019726,0,,2.68
32,,0.0,0.0,16.193360279674458,1,,0,,0,2,1,0,217.94,1,7.067568529452932,0,,22.233491974008288,0.0319360979266423,-11.36404611274688,0,6.5,,0,1,0,0,0.6557697414055297,0,404.6604621972969,0.5074899526962935,0,142.2,1,29.1,0,14,0.8750946556670395,0,,3.24
33,,0.0,0.0,15.507516134672173,0,,0,,0,1,1,0,180.95,1,6.241500218220169,0,,36.60288887313836,0.0358850181744939,-13.390826124167578,0,6.0,,0,1,0,0,0.4222064509189733,0,365.617495994388,0.503831001141053,0,102.13,1,29.1,0,11,0.8483570707681505,0,,2.29
34,,0.0,0.0,16.166657409969627,2,,0,,0,3,1,0,212.15,1,7.104086229184978,0,,21.427719642328945,0.0325265472717045,-12.551289373197204,0,4.33,,0,1,0,0,0.6135023259070952,0,407.4255062102944,0.5068730243949977,0,140.18,1,29.1,0,14,0.919924637491863,0,,3.27
35,151.27084621174646,2.0,0.125,16.07829430951966,2,150.21372183423497,0,1.351297367686365,0,3,1,0,217.42,1,7.156265514309476,0,115.56347543916796,26.814545596732444,0.0296763540597928,-17.478419901621685,0,4.33,147.45920785540554,0,1,0,0,0.5135302868756271,0,360.25832732457764,0.5715436728803344,0,158.17,1,46.17789053665859,0,14,0.9467849940167636,0,148.68624706816016,2.69
36,148.61363187233357,2.0,0.25,16.897689777889052,2,157.2348906214258,0,1.378256003045315,0,3,0,0,222.74,1,7.655457972648758,0,96.11666384748294,4.653528124165362,0.0300323662242409,-21.82158883878922,0,4.33,157.86319603008752,0,1,0,0,0.7674862990043216,0,339.60660833089514,0.6546989817702664,0,176.16,1,63.25075706338009,0,14,0.8889074611656634,0,148.41391534030905,2.93
