,f_freedom,PPSA5,mol_num_cycles,nFRing,nF,identificator,mol_weight,dipole_moment,nHRing,nO,PBF,nC,nARing,cis/trans,PNSA5,FPSA3,mol_volume,RPCS,GeomShapeIndex,WPSA5,TASA,f_to_fg,avg_atoms_in_cycle,nFHRing,chirality,fold_id,logP
55,0.0,0.7657819831803816,0.3333333333333333,0.0,1.0,1.0,0.7828350425864766,0.8871337413451225,0.5,0.0,0.37903931902864607,0.6666666666666665,0.3333333333333333,0.0,0.4013939585329207,0.011052080074045234,0.9090809146877752,0.0,0.32837038068929836,0.7397294334355387,0.995940407696271,1.0,1.0,0.0,0.3333333333333333,1,2.54
56,1.0,-0.07765653003479356,0.6666666666666667,1.0,0.0,1.0,0.29624543716321916,0.6296460030933348,0.5,0.0,0.5538201463817346,0.6666666666666665,0.6666666666666666,0.0,0.911503326280402,0.385428405641874,0.5589270008795073,0.6450690239463515,0.40656861214390094,0.006237829118246996,0.7124757072966617,0.0,0.4444444444444442,1.0,0.6666666666666666,0,1.65
57,1.0,-0.1109360749822379,1.0,1.0,0.0,1.0,0.5400660524943509,0.5823346317258056,1.0,0.0,1.0448897823626342,1.0,1.0,0.0,0.9825937011761888,0.17616757386780102,1.0061565523306943,0.3644071605411804,0.5749716724555256,0.10006250711116094,0.8778300521666469,0.0,0.16666666666666652,1.0,0.0,0,2.66
58,1.0,0.04459716689586957,1.0,1.0,0.0,1.0,0.41815574482878504,0.6157545085868831,1.0,0.0,0.6773863170889244,0.833333333333333,1.0,0.0,0.970335374348407,0.3221878227774351,0.7753957783641159,0.4827209713096483,0.5036634507137059,0.16630987910160044,0.8365466570527493,0.0,0.16666666666666652,1.0,0.0,0,2.01
59,1.0,-0.14427046265398014,0.3333333333333333,0.0,0.0,1.0,0.19185642273596393,0.5811959480144926,0.5,0.0,0.485740217240735,0.5,0.3333333333333333,0.0,0.9033287368097801,0.3796157580267492,0.4656992084432714,0.4662667114016722,-0.07051359475276664,-0.10972616920615685,0.6441027350357924,0.0,1.0,0.0,0.0,0,1.39
60,0.0,0.8075080677598625,0.6666666666666667,1.0,1.0,1.0,1.0091343646792978,1.1276114380254003,0.5,0.0,1.2362785423703238,1.0,0.6666666666666666,0.0,0.5289798965227976,-0.135484127526591,1.2271328056288477,0.00847764697971119,0.42792678455473254,0.8833265044996845,1.1048247275927499,1.0,0.5555555555555556,1.0,0.6666666666666666,1,2.67
61,1.0,0.08516259489536893,0.6666666666666667,1.0,0.0,1.0,0.41815574482878504,0.6266888892151584,0.5,0.0,0.8175414909635478,0.833333333333333,0.6666666666666666,0.0,0.9772105727992041,0.3728892552810996,0.7812225153913812,0.6119393155960935,0.4126579241460524,0.20286355129348665,0.8327920133939415,0.0,0.5555555555555556,1.0,0.6666666666666666,0,1.88
62,1.0,0.041831651445953355,0.6666666666666667,1.0,0.0,1.0,0.5400660524943509,0.6157845376017244,0.5,0.0,0.8199869656942459,1.0,0.6666666666666666,0.0,1.0034919761810408,0.27708926720687366,1.0116534740545298,0.5418308663482184,0.5167434234648676,0.25032532584883116,0.9771110915608805,0.0,0.5555555555555556,1.0,0.6666666666666666,1,2.41
63,0.0,0.21032561634604185,0.6666666666666667,1.0,0.6666666666666666,1.0,0.8527811576568748,0.9614014895829616,0.5,0.0,0.6029147290892735,1.0,0.6666666666666666,0.0,0.5125341785367912,0.20932560255330435,1.1366534740545298,0.9033541700541933,-0.21695447291900338,0.47035225784691814,0.5884432751607362,2.0,0.6666666666666665,1.0,0.6666666666666666,1,1.59
64,0.0,0.3743527681384462,0.6666666666666667,1.0,1.3333333333333333,1.0,1.1654962628193988,0.5292136564562385,0.5,0.0,0.5585434534440471,1.0,0.6666666666666666,0.0,-0.12586358171466427,-0.008424817625830805,1.2747361477572565,0.0,-0.29926362907393456,0.6264240203465348,0.3547838509556944,3.0,0.6666666666666665,1.0,0.6666666666666666,0,1.84
