,f_freedom,distance_between_atoms_in_cycle_and_f_group,PPSA5,mol_num_cycles,nFRing,angle_R1X1R2,nF,identificator,mol_weight,dipole_moment,nHRing,nO,PBF,nC,angle_X2X1R1,nARing,angle_R2X2R1,cis/trans,PNSA5,FPSA3,mol_volume,RPCS,GeomShapeIndex,WPSA5,TASA,f_to_fg,dihedral_angle,distance_between_atoms_in_f_group_centers,avg_atoms_in_cycle,angle_X1X2R2,nFHRing,chirality,fold_id,logP
11,0,2.150871645560229,16.517448011277725,2,0,132.56958498799258,3,0,168.115,0.8473809353128332,0,1,0.4259355585954678,12,146.1817450920472,1,132.59532826290342,1,-27.946857841591584,0.0242967882356882,206.21600000000004,0.5188047566240147,0.8820412346293967,7.104608503432769,388.8426415148809,2.0,6.618749844120114e-05,4.704715031455934,5.0,146.72986203383056,0,0,1,2.72
12,1,2.168425821217919,16.97460069818347,2,0,169.81613504538947,2,0,150.125,0.2663900871517844,0,1,0.5770452970519552,12,143.36540578247286,1,129.16466682169258,2,-23.64943647600296,0.0354019375741469,200.78400000000005,11.090286494010757,0.7615593824177301,7.129477019304094,313.0126332046233,2.0,179.70720582668127,4.651521651924137,5.0,113.94577024793278,0,0,1,2.39
13,1,2.1529355089518623,17.754422439018153,2,0,130.86964492771514,2,0,150.125,0.5716602140643124,0,1,0.6978640012697866,12,145.2579462466399,1,130.331001217599,1,-22.589587616601133,0.0356036581594652,200.88000000000005,11.354340934344345,0.7200972195360423,7.488362115887142,317.67049908245974,2.0,6.7918052024127625e-06,4.6669584284572885,5.0,144.83596461814386,0,0,1,2.23
14,1,2.167321772191846,16.82011773012949,2,0,169.79160749833093,1,0,132.134,0.3579609265782811,0,1,0.6360348196849155,12,143.29593505104825,1,129.23563326470713,2,-17.286904910300787,0.0370496197797817,195.48800000000008,25.853681157893934,0.7593300167015813,6.941409257755571,341.5017900775396,2.0,179.99998154589412,4.654518956657728,5.0,113.98158980361644,0,0,0,2.14
15,1,2.1875072680655143,16.866718991875672,2,0,109.33238312364874,1,0,132.134,0.7948984153856945,0,1,0.5579520677080879,12,131.1630705155388,1,105.72149852281362,1,-17.838229845013615,0.0360419988445948,193.78400000000005,26.47516387803562,0.8215237924030663,7.058125793299357,337.2904089208858,2.0,1.3131215713015022e-05,4.09703291461663,5.0,125.74403414914566,0,0,0,1.96
18,0,2.145465652724542,15.673065118628568,2,0,150.33926952181153,2,0,136.098,0.6166138522204985,0,1,0.455781313231095,11,145.47748314380135,1,176.50597784524396,0,-26.73332492796613,0.0310250638753075,184.37600000000003,4.345586434353479,0.9584364398926456,6.239905527862647,279.89147082532264,1.0,179.99998079372608,4.341872407128968,5.0,162.08340164491457,0,0,0,2.26
19,0,1.510829297272054,17.7161041394295,2,0,115.76584540926686,2,0,150.125,0.1098322616914486,0,1,0.5260974572968908,12,111.6790415851758,1,129.10106654503724,0,-21.66562027703755,0.02873200821835,197.41600000000005,0.2467476150590761,0.8750309924347206,7.29351956078817,319.02190014764835,2.0,106.9557608051152,3.0855353815881283,5.5,127.23888378940072,0,1,1,2.25
20,0,2.3913964631592366,15.952977537968284,2,0,108.7745287104272,2,0,150.125,0.3724919646025041,0,1,0.486297521971699,12,116.61326770094976,1,123.53006248921083,0,-24.33289574121703,0.0301512920488097,196.87200000000004,0.0,0.8534866286730589,6.658032029851789,307.99766312898794,2.0,12.155855482703776,3.86287486337179,5.5,147.16615451387398,0,1,1,2.5
21,0,1.51946770156042,18.08647240499828,2,0,117.06887434337962,2,0,164.152,0.0931254728787247,0,1,0.5724553636189635,13,111.46442290312208,1,128.19381468190937,0,-19.725208071202463,0.0287524904182823,213.3760000000001,0.0,0.8144728826958533,7.693980608517341,344.00127364111046,2.0,110.82578410233648,3.100648370816512,6.0,123.04611442715272,0,1,1,2.5
23,0,1.5208258395459489,18.123468578515816,2,0,119.48221770226088,2,0,178.179,0.037531181695505,0,1,0.7082818468874233,14,109.66921259293144,1,133.41999014510694,0,-19.27573251178975,0.0287940693543306,229.6560000000001,0.0,0.8759497765744838,8.059670792681985,363.60746666654194,1.0,122.82534248442886,3.1277562950363085,6.5,120.84171762581884,0,1,1,2.9
