,nC,FPSA3,nFARing,RPCS,dipole_moment,angle_R1X1R2,nFAHRing,angle_X2X1R1,nFHRing,chirality,cis/trans,nHRing,TASA,angle_X1X2R2,nO,nF,PNSA5,dihedral_angle,f_to_fg,nARing,angle_R2X2R1,naRing,mol_volume,mol_weight,avg_atoms_in_cycle,mol_num_cycles,nN,nAHRing,PBF,nFRing,WPSA5,f_freedom,distance_between_atoms_in_f_group_centers,PPSA5,GeomShapeIndex,molecule_type,amine_type,fold_id,logP
29,10,0.0360232709503461,0,29.4963111975155,0.5010547781392878,0.0,0,0.0,0,0,0,0,325.1362064131209,0.0,1,0,-14.639989115506346,0.0,0.0,1,0.0,1,157.28,86.09,4.5,2,1,0,0.2890030212148852,0,5.388031062161855,1,0.0,14.90336380830188,0.8343730701758801,0,0,1,1.92
30,11,0.0347973760625621,0,21.742879230255003,0.5135142852675479,0.0,0,0.0,0,0,0,0,346.099749372459,0.0,1,0,-13.36263793066799,0.0,0.0,1,0.0,1,171.81,100.12,5.0,2,1,0,0.4735359524552176,0,5.791747265071259,1,0.0,15.254802996841155,0.9261913075297316,0,0,1,2.26
31,12,0.0328644838610689,0,21.38072012380494,0.5089160785859065,0.0,0,0.0,0,0,0,0,365.42440358207233,0.0,1,0,-12.492190893804027,0.0,0.0,1,0.0,1,187.35,114.14,5.5,2,1,0,0.5545652979017571,0,6.256761800025264,1,0.0,15.648258605828287,0.8907746986019726,0,0,1,2.68
32,14,0.0319360979266423,0,22.233491974008288,0.5074899526962935,0.0,0,0.0,0,0,0,0,404.6604621972969,0.0,1,0,-11.36404611274688,0.0,0.0,1,0.0,1,217.94,142.2,6.5,2,1,0,0.6557697414055297,0,7.067568529452932,1,0.0,16.193360279674458,0.8750946556670395,0,0,1,3.24
33,11,0.0358850181744939,0,36.60288887313836,0.503831001141053,0.0,0,0.0,0,0,0,0,365.617495994388,0.0,1,0,-13.390826124167578,0.0,0.0,0,0.0,1,180.95,102.13,6.0,1,1,0,0.4222064509189733,0,6.241500218220169,1,0.0,15.507516134672173,0.8483570707681505,0,0,1,2.29
35,14,0.0296763540597928,0,26.814545596732444,0.5715436728803344,151.27084621174646,0,148.68624706816016,0,0,0,0,360.25832732457764,147.45920785540554,1,1,-17.478419901621685,115.56347543916796,2.0,2,150.21372183423497,1,217.42,158.17,4.33,3,1,0,0.5135302868756271,0,7.156265514309476,1,1.351297367686365,16.07829430951966,0.9467849940167636,0,0,1,2.69
37,13,0.0291648245806242,1,0.0,0.2272600032943055,157.24953292380826,1,162.84551687547935,1,0,0,2,397.7583747794454,166.8315810161213,2,3,-36.048065634441336,0.0001615934953358,2.0,3,159.3481118738567,1,219.99,196.12,3.0,4,1,2,0.4093226484519686,1,8.48559559273305,0,5.6948005556987376,18.93493248210011,0.8953875458676485,0,0,0,2.05
39,12,0.0345384370167808,1,25.701330855820668,0.5034164569000006,0.0,1,0.0,1,0,0,2,337.74416994430226,0.0,2,0,-17.54101288704247,0.0,0.0,3,0.0,1,186.82,128.13,3.0,4,1,2,0.429991073423503,1,6.96986969942145,1,0.0,17.660788895005794,0.9539874245004532,0,0,1,1.54
40,13,0.0392613652323854,0,40.021194591699526,0.4774529597743909,0.0,0,0.0,0,0,0,0,360.20503332713645,0.0,1,0,-17.573461682097104,0.0,0.0,0,0.0,2,184.63,122.12,6.0,2,1,0,0.0957121568969253,0,6.991320346777683,1,0.0,17.434587971801154,0.906339698503716,0,0,0,2.49
41,12,0.0253020626893941,0,0.5252229692099908,0.1943204690785033,116.36132976083772,0,117.41706270318718,0,2,1,0,389.2909116341421,114.79989641365874,1,3,-27.918059759942576,96.49648608292644,2.0,1,114.32989970181568,1,204.23,168.12,5.0,2,1,0,0.5504715912741219,0,6.936809677221722,0,1.8219793082884803,16.413188634470696,0.9087938312988504,0,0,0,2.88
42,12,0.0298700884181259,0,12.134165624982662,0.5780823739990404,116.2393990625636,0,117.4929107264839,0,2,2,0,305.0388138227126,115.65964398782071,1,2,-25.456676950920663,96.01465272354304,2.0,1,114.80138048129054,1,198.95,150.12,5.0,2,1,0,0.7015111872564055,0,6.894385775581792,1,2.452497489393438,16.3682497558223,0.9152991718957344,0,0,0,2.22
43,12,0.035518685068512,0,18.438455579322984,0.6693705158815912,117.21511549365697,0,118.18552585435737,0,2,2,0,345.6523305313949,115.44038974382212,1,1,-17.307661834057953,96.86790321946678,2.0,1,115.10527936997832,1,193.39,132.13,5.0,2,1,0,0.7420305735697262,0,6.9660822803517775,1,1.032945897323411,16.892747290687392,0.8272483341095788,0,0,1,2.11
