,f_to_fg,chirality,angle_R2X2R1,TASA,nC,nO,nHRing,angle_X2X1R1,dipole_moment,nF,PPSA5,angle_R1X1R2,RPCS,PBF,nFRing,avg_atoms_in_cycle,FPSA3,identificator,nARing,PNSA5,f_freedom,sasa,nN,GeomShapeIndex,angle_X1X2R2,mol_num_cycles,distance_between_atoms_in_cycle_and_f_group,distance_between_atoms_in_f_group_centers,mol_weight,cis/trans,dihedral_angle,nFHRing,no angle and distance,fold_id,pKa
11,2.0,0,3.0,213.5651581190841,6,2,0,3.0,0.3956771358714296,3,14.647983240066086,3.0,0.3144554506206151,0.6914093611949659,0,4.0,0.0395131132313298,0,1,-35.27533630948227,0,192.1680691986646,0,0.6955929920478969,3.0,1,2.0,4.0,168.115,1,1.0,0,0,1,3.88
12,2.0,0,4.0,125.26309162500368,6,2,0,1.0,0.3499819948163334,2,14.398597927570652,3.0,20.288534685484777,0.7108225267458765,0,4.0,0.0482926986103121,0,1,-32.45252486481021,1,190.02944743692103,0,0.6770937941764812,3.0,1,2.0,4.0,150.125,2,4.0,0,0,1,4.11
13,2.0,0,3.0,119.29244316444178,6,2,0,3.0,0.2299616699825826,2,14.113786568282643,3.0,22.636744718526995,0.7544283607150936,0,4.0,0.0449439774841203,0,1,-34.45756702380758,1,189.422118950376,0,0.7831526676457493,3.0,1,2.0,4.0,150.125,1,1.0,0,0,0,3.92
14,2.0,0,2.0,149.95212591008124,6,2,0,3.0,0.5545472638922414,1,14.676376492470036,4.0,19.141547170949217,0.656167419719424,0,4.0,0.0504542180604187,0,1,-23.14483922690955,1,187.48724173509552,0,0.8987863135073821,1.0,1,3.0,4.0,132.134,2,4.0,0,0,0,4.18
15,2.0,0,3.0,152.75104405982873,6,2,0,3.0,0.3334923475831975,1,15.2591712370864,3.0,19.88092023763824,0.6554395210663695,0,4.0,0.051259820829011,0,1,-22.852194201487187,1,186.5614162618355,0,0.7281846864144095,3.0,1,2.0,4.0,132.134,1,1.0,0,0,0,4.12
16,2.0,1,3.0,73.59846966002104,4,2,0,2.0,0.5404332364200497,2,15.608064541291432,2.0,27.091955905157675,0.6164647609838928,0,3.0,0.0527836848800803,0,1,-43.17493882476744,0,137.212578867223,0,0.6017978063994549,4.0,1,1.0,1.0,122.071,0,2.0,0,0,0,3.25
17,2.0,1,2.0,107.37472047927096,5,2,0,2.0,0.5701151074205802,2,15.278596863214377,2.0,18.90672006284798,0.6200156207653903,0,4.0,0.0458965614612463,0,1,-34.11479626887625,0,163.33396327882613,0,0.7768653075910121,2.0,1,2.0,1.0,136.098,0,2.0,0,0,1,3.62
18,1.0,0,4.0,104.14571387046864,5,2,0,3.0,0.2989474045054803,2,13.994361565341489,4.0,17.504968878987523,0.6428097696555096,0,4.0,0.0448064015891366,0,1,-41.34424546451419,0,163.1055785983171,0,0.6701596789375229,4.0,1,2.0,3.0,136.098,0,4.0,0,0,0,4.02
19,2.0,1,2.0,138.1445064603989,6,2,0,1.0,0.5254751295043006,2,15.56040592724806,2.0,10.011975470703227,0.750323127117339,0,5.0,0.0412656827876102,0,1,-29.09328947979354,0,181.92442914984005,0,0.8065013615440496,2.0,1,1.0,1.0,150.125,0,3.0,0,0,1,3.76
20,2.0,1,2.0,123.79308191698593,6,2,0,1.0,0.6352927451386398,2,13.132149686225151,1.0,12.753884582813232,0.8287009249167615,0,5.0,0.0403929476748572,0,1,-36.004458427499486,0,180.83009115379903,0,0.6628979398849013,3.0,1,3.0,2.0,150.125,0,2.0,0,0,1,3.98
21,2.0,1,2.0,161.65060082625854,7,2,0,1.0,0.4731797918149896,2,16.467833586152715,2.0,20.798124455198728,0.5839278158952526,0,6.0,0.0434933308458685,0,1,-24.440147651669985,0,207.5269838401404,0,0.8592698990018515,2.0,1,1.0,1.0,164.152,0,3.0,0,0,0,3.81
23,1.0,1,2.0,181.25866209145272,8,2,0,1.0,0.4344263746482049,2,15.96018969150894,2.0,18.037817555574808,0.941893472079268,0,7.0,0.0413448323959624,0,1,-22.217706000515307,0,227.80662333877976,0,0.659791020960021,2.0,1,2.0,1.0,178.179,0,3.0,0,0,1,3.78
24,2.0,1,2.0,171.33838269783195,8,2,0,1.0,0.6235675224364124,2,14.025588581879209,1.0,20.64233347846109,0.7664516421205058,0,7.0,0.0416969510350136,0,1,-26.22277184415193,0,229.24359914834235,0,0.6730988020758327,3.0,1,3.0,2.0,178.179,0,2.0,0,0,1,4.09
25,2.0,1,4.0,170.50913006421538,8,2,0,2.0,0.3582334357483183,2,13.95565750599798,3.0,8.416292952323186,0.7525917953628533,0,7.0,0.0387119353364461,0,1,-26.1259882881375,0,229.66022362007917,0,0.6694259142106904,4.0,1,4.0,4.0,178.179,0,3.0,0,0,0,4.36
26,1.0,0,0.0,136.97218600930577,5,2,0,0.0,0.4281774382219588,2,15.255457984952583,0.0,18.34137971322108,0.6083716933551198,0,0.0,0.0438508345777567,0,0,-33.78534267599592,0,176.5756409438961,0,0.813252279894711,0.0,0,0.0,0.0,138.114,0,0.0,0,1,0,3.55
27,1.0,0,0.0,132.39588354637235,5,2,0,0.0,0.6607190979257643,2,14.398216927878911,0.0,22.11793777182104,0.7643145565490693,0,0.0,0.0451493510876545,0,0,-32.40477060805976,0,179.12505260175053,0,0.607895595437519,0.0,0,0.0,0.0,138.114,0,0.0,0,1,1,4.17
29,0.0,0,0.0,136.27798744485057,4,2,0,0.0,0.2473974129983841,0,13.857664796449882,0.0,19.85637346226349,0.6332140660674527,0,3.0,0.0551375633028044,0,1,-21.17891174986713,1,131.23773599285263,0,0.4927333474593312,0.0,1,0.0,0.0,86.09,0,0.0,0,1,1,4.6
30,0.0,0,0.0,183.29248689417105,6,2,0,0.0,0.2496692677092228,0,14.31841187450095,0.0,17.14943234202641,0.5701201812784207,0,5.0,0.0486064839811568,0,1,-14.637306275249518,1,176.67787181614017,0,0.8819441023858844,0.0,1,0.0,0.0,114.144,0,0.0,0,1,1,4.69
31,0.0,0,0.0,226.16369760976767,8,2,0,0.0,0.2484565385079133,0,14.752191272940273,0.0,11.548056905501529,0.8200318958943735,0,7.0,0.0459184072640667,0,1,-10.71617980952599,1,222.48653083555695,0,0.7448957199689672,0.0,1,0.0,0.0,142.198,0,0.0,0,1,0,5.08
32,0.0,0,0.0,181.6700435707785,5,2,0,0.0,0.2445878298658363,0,14.213371930017423,0.0,20.378762397732896,0.6076153400748255,0,0.0,0.0503505600777337,0,0,-16.507810869560906,1,172.98432376618783,0,0.6664587376440964,0.0,0,0.0,0.0,102.133,0,0.0,0,1,0,4.75
33,0.0,0,0.0,218.63024200560668,8,2,0,0.0,0.2750854382423716,0,14.567445190075045,0.0,18.625918183725496,0.7892692471740332,0,3.5,0.0461191997787478,0,2,-13.357346870415398,1,219.2378766319335,0,0.8759287487201909,0.0,2,0.0,0.0,140.182,0,0.0,0,1,1,4.59
35,2.0,0,4.0,152.4726763351867,8,2,0,4.0,0.3558241042093717,2,14.10199631477192,4.0,24.80174543104349,0.6861875673603038,0,3.5,0.0413969250457428,0,2,-29.15862631599129,0,223.3797824851056,0,0.7795676369975613,4.0,2,4.0,4.0,176.163,0,3.0,0,0,0,4.35
40,2.0,2,2.0,209.4697442583845,6,2,0,2.0,0.5091129211734532,3,13.641889194784522,2.0,0.4786735772335246,0.9020998709729372,0,4.0,0.0379085306124974,0,1,-36.49243565729966,0,191.24977149410557,0,0.6502741330226856,1.0,1,2.0,2.0,168.115,1,3.0,0,0,0,3.87
41,2.0,2,2.0,135.46311534098638,6,2,0,2.0,0.2977196549547151,2,15.368635391868173,2.0,20.66921578276056,0.6012381876936398,0,4.0,0.0497631644099074,0,1,-30.788706963889872,1,189.15339060602076,0,0.7669895787822693,1.0,1,2.0,2.0,150.125,2,3.0,0,0,0,4.26
42,2.0,2,2.0,154.8580989448244,6,2,0,2.0,0.3727366865653085,1,13.705943192226622,2.0,15.171856245288192,0.7934396087806836,0,4.0,0.0490846184781668,0,1,-27.73853919678566,1,186.17376771687933,0,0.7172939129630204,1.0,1,2.0,2.0,132.134,2,3.0,0,0,0,4.38
43,2.0,2,3.0,191.86703041386264,5,2,0,2.0,0.3422513380982489,3,13.32749587693974,3.0,0.6132063620740182,0.6441940905096711,0,3.0,0.0415983148728792,0,1,-42.65866245936986,0,165.52586524254474,0,0.7848613685757508,2.0,1,1.0,2.0,154.088,2,3.0,0,0,1,3.88
44,2.0,2,1.0,197.85135291456135,5,2,0,2.0,0.6103443216285934,3,15.49271854875944,1.0,0.0,0.6872245466630071,0,3.0,0.0428084448410278,0,1,-38.02602231223493,0,168.18098373570584,0,0.6968750750963448,2.0,1,1.0,1.0,154.088,1,1.0,0,0,1,3.76
45,2.0,2,3.0,100.69527168558226,5,2,0,2.0,0.5204149390978718,2,14.20803165042576,3.0,28.1018764993194,0.6572644445585247,0,3.0,0.0505008968294527,0,1,-39.95877709640955,1,162.6136399433309,0,0.7192463378238236,2.0,1,1.0,2.0,136.098,2,3.0,0,0,0,4.18
46,2.0,2,1.0,112.3859294932788,5,2,0,2.0,0.4982122964994973,2,15.283566166242702,1.0,24.543522007522466,0.6913894503378255,0,3.0,0.0509535532729002,0,1,-35.82568701079023,1,161.7826807420305,0,0.5136138261475497,2.0,1,1.0,1.0,136.098,1,1.0,0,0,1,4.17
47,2.0,2,3.0,135.70124216442397,5,2,0,2.0,0.3830468586932128,1,14.28475820562848,3.0,25.96246334917419,0.6573654350591489,0,3.0,0.0569953582643036,0,1,-31.537285763931315,1,160.11470311261803,0,0.9424813881200376,2.0,1,1.0,2.0,118.107,2,4.0,0,0,1,4.35
48,0.0,2,0.0,165.69686400283277,5,2,0,0.0,0.2495747126378884,0,14.157645458969858,0.0,22.51615053345238,0.7751385981119047,0,3.0,0.0509998444905153,0,1,-18.312793590920684,1,157.73985204498166,0,0.702898098635212,0.0,1,0.0,0.0,100.117,2,0.0,0,1,1,4.79
49,0.0,2,0.0,167.5578520453994,5,2,0,0.0,0.242300858224582,0,14.189968777936029,0.0,17.733959269710283,0.6324744932917484,0,3.0,0.0519817808231437,0,1,-16.68355759110653,1,158.91709205617835,0,0.6326018097119306,0.0,1,0.0,0.0,100.117,1,0.0,0,1,1,4.83
52,2.0,1,2.0,121.68760028652724,6,2,0,2.0,0.573753619172274,2,15.341943916419815,2.0,16.43198640725489,0.8746266875471955,0,2.5,0.0427489569340657,0,2,-34.086451745003146,0,177.04598304713116,0,0.6689220168331121,4.0,2,1.0,1.0,148.109,0,2.0,0,0,0,3.51
54,2.0,3,3.0,187.2305642392238,6,0,0,4.0,0.4408455978072262,2,11.033369417605924,4.0,8.005894338502802,0.6893979685791616,1,3.0,0.036068542112071,1,2,-16.677079957821995,0,180.829000789739,1,0.6343410282326662,2.0,2,4.0,4.0,133.142,2,4.0,0,0,0,8.89
55,2.0,3,3.0,181.80524513255264,6,0,0,3.0,0.5216364398209455,2,10.510443159636914,3.0,7.561122430808201,0.6769304163229937,1,3.0,0.0343266902273082,1,2,-18.14345984186118,0,178.24055838754117,1,0.6532080683093773,4.0,2,4.0,4.0,133.142,1,1.0,0,0,0,8.95
56,2.0,0,4.0,202.83670844010567,6,0,0,1.0,0.5640723171404886,2,10.452837258190042,2.0,0.0,0.7462150972744016,0,6.0,0.0331072084393549,1,1,-15.494784304712097,0,193.9199023161517,1,0.5754646851032826,4.0,1,4.0,3.0,135.158,0,4.0,0,0,1,9.45
57,0.0,0,0.0,254.7390393327895,6,0,0,0.0,0.157107849201661,0,8.866744542046902,0.0,109.8126700351026,0.6174326530489427,0,6.0,0.037634006999398,1,1,-4.748484091271335,1,185.04187254201784,1,0.5254276657029684,0.0,1,0.0,0.0,99.177,0,0.0,0,1,1,10.58
58,0.0,3,0.0,253.51182704761607,6,0,0,0.0,0.1609263446786569,0,9.043318876709012,0.0,113.59005384570176,0.6873035911413574,1,3.0,0.0387307145063525,1,2,-5.140619464629583,1,174.3570812167523,1,0.7741414031950784,0.0,2,0.0,0.0,97.161,1,0.0,0,1,0,9.79
59,0.0,3,0.0,244.97178352499503,6,0,0,0.0,0.1521616226091137,0,8.826668121427637,0.0,97.83228368410796,0.756164291701823,1,3.0,0.0369475244757103,1,2,-5.211637777410795,1,175.8156446341439,1,0.6554691398948037,0.0,2,0.0,0.0,97.161,2,0.0,0,1,1,9.77
60,3.0,0,1.0,271.7837546996193,6,0,2,3.0,0.5948712814837723,3,11.32425585654813,1.0,0.0,0.7536109720459689,1,2.0,0.0197343272134633,2,3,-17.018263112161698,0,183.21537832682185,1,0.7698918064968362,2.0,3,1.0,1.0,151.132,0,1.0,1,0,0,6.52
62,0.0,0,0.0,217.7885999925112,5,0,2,0.0,0.2181066195060026,0,7.199393062538068,0.0,60.62042645401239,0.8194531843538633,1,2.0,0.0325086427558026,2,3,-4.768802748821384,1,144.9253919551171,1,0.4239875171218688,0.0,3,0.0,0.0,83.134,0,0.0,1,1,0,11.23
63,0.0,0,0.0,205.893689498127,4,0,1,0.0,0.1916941111723791,0,7.442031014246973,0.0,57.43971934281296,0.6497610332875257,0,5.0,0.0330549357531861,2,1,-4.733641395201833,1,135.40878558179713,1,0.2967773638678228,0.0,1,0.0,0.0,71.123,0,0.0,0,1,0,11.27
64,0.0,0,0.0,245.81359761280552,6,0,2,0.0,0.2126390446189373,0,7.247283222612638,0.0,54.02200416794984,0.748776334949073,1,2.0,0.0283062353129283,2,3,-4.9079246532906255,1,175.16492732000555,1,0.6606284382864328,0.0,3,0.0,0.0,97.161,0,0.0,1,1,0,11.28
66,3.0,0,1.0,308.72515397183554,8,0,2,2.0,0.5869500310104611,3,12.727607096870784,1.0,0.114676151706168,0.9301444275816604,1,2.6666666666666665,0.0213387464978359,2,3,-13.303890101190229,0,219.4453101817938,1,0.6101410357351497,1.0,3,1.0,1.0,179.186,0,1.0,1,0,1,6.56
68,0.0,2,0.0,239.2473739815772,6,0,1,0.0,0.2103567428212944,0,7.733255041764666,0.0,66.46857144914733,0.8040389632675372,1,3.5,0.0324356471627284,2,2,-4.095564064692348,1,163.88504435261575,1,0.4714063504933282,0.0,2,0.0,0.0,97.161,0,0.0,1,1,1,10.42
70,0.0,0,0.0,259.48901434734745,7,0,2,0.0,0.1906619370203195,0,8.202400341175377,0.0,70.43083275451912,0.95949648393803,1,2.6666666666666665,0.0320803339912586,2,3,-3.495508059024568,1,187.5637048598109,1,0.3256290932396438,0.0,3,0.0,0.0,111.188,0,0.0,1,1,0,10.89
71,0.0,0,0.0,242.6892370128164,5,0,1,0.0,0.1745796534962748,0,8.80505866225216,0.0,84.02424523290729,0.560811830789086,0,6.0,0.0364074954018465,2,1,-3.028724297328809,1,160.6976472804486,1,0.3336512394934317,0.0,1,0.0,0.0,85.15,0,0.0,0,1,0,11.12
72,2.0,2,1.0,310.53311252037986,8,0,1,2.0,0.5272600407577879,3,13.081083616675183,1.0,0.3440943389532525,0.8310463206834005,1,4.0,0.0219883238764374,2,2,-12.92325320086388,0,222.18231767970775,1,0.6053410471213332,1.0,2,1.0,1.0,179.186,0,2.0,1,0,1,5.96
73,0.0,2,0.0,260.7381538676305,7,0,1,0.0,0.2000037603467224,0,8.3432110566518,0.0,85.25197073502616,0.8765358319827851,1,4.0,0.0333795295055657,2,2,-3.4153211466613733,1,185.4415324004061,1,0.3526074606064686,0.0,2,0.0,0.0,111.188,0,0.0,1,1,1,10.38
75,4.0,2,1.0,236.9723741747558,8,0,1,1.0,0.6093861571360034,2,11.20450053520716,1.0,0.0,0.8843319411805668,1,4.5,0.031213573475768,2,2,-9.509394058398772,0,210.43214385734663,1,0.4421863152002601,1.0,2,4.0,2.0,161.196,0,1.0,1,0,1,9.41
76,6.0,2,1.0,178.7684951445932,8,0,1,1.0,0.3029082425854118,4,10.742558833110683,1.0,0.0,0.8827218882701541,1,4.5,0.0236301250900224,2,2,-31.83469698688197,0,221.93369054633985,1,0.5210119490563457,1.0,2,4.0,2.0,197.177,0,1.0,1,0,1,6.37
77,2.0,2,4.0,232.37525067130915,8,0,1,4.0,0.3794262987160974,2,10.368613946078034,4.0,0.0,0.9051236355665324,1,4.5,0.028230613483255,2,2,-12.57953822731649,0,216.0986164698675,1,0.4134327858176245,4.0,2,4.0,3.0,161.196,0,4.0,1,0,0,7.72
78,0.0,2,0.0,288.43967560585446,8,0,1,0.0,0.1686398848951222,0,9.781594051803742,0.0,103.838177397962,0.943846540646946,1,4.5,0.0352462945411646,2,2,-2.334357141285753,1,211.8033330314144,1,0.3645615785570233,0.0,2,0.0,0.0,125.215,0,0.0,1,1,1,10.86
79,2.0,2,4.0,209.346344072206,7,1,2,4.0,0.078592561408085,2,12.88355499753134,4.0,0.0,0.9157235991197747,1,4.5,0.0375369742534813,2,2,-23.37638530329152,0,196.00086218547352,1,0.3916831244528449,4.0,2,4.0,4.0,163.168,0,4.0,1,0,0,8.05
80,0.0,2,0.0,252.6041575081705,7,1,2,0.0,0.5214436287682666,0,10.757054682274738,0.0,101.37159471134017,0.8415581555293844,1,4.5,0.0412758272938984,2,2,-5.603148165794285,1,192.43403772995836,1,0.6281385543754033,0.0,2,0.0,0.0,127.187,0,0.0,1,1,1,10.4
84,0.0,2,0.0,268.66374316514094,7,0,1,0.0,0.1635446998404621,0,9.337360328679887,0.0,86.79714117594831,0.9026138517649894,1,4.0,0.0348119015458815,2,2,-2.774439881914328,1,190.918146851334,1,0.3447158165367778,0.0,2,0.0,0.0,111.188,0,0.0,1,1,1,10.53
86,0.0,0,0.0,186.25231948453205,3,0,1,0.0,0.2189168526733791,0,7.383101805015402,0.0,65.7341554410486,0.568124800040279,0,4.0,0.03659099546532,2,1,-5.1761682715831,1,114.5394452392358,1,0.3037453436379141,0.0,1,0.0,0.0,57.096,0,0.0,0,1,0,11.21
88,1.0,0,4.0,114.920049238766,3,0,1,4.0,0.4709867183348272,2,10.361170861433536,4.0,3.3459956396696957,0.6848502742395467,0,4.0,0.0335033787827933,2,1,-24.9708751517984,0,120.68596109890362,1,0.7516068671118905,4.0,1,2.0,2.0,93.077,0,1.0,0,0,0,6.44
89,2.0,1,2.0,181.9074329311518,4,0,1,4.0,0.2406613470345062,1,9.407922050335824,4.0,77.55180082464565,0.6464896896342545,0,5.0,0.0363158172975635,2,1,-10.19645962262948,1,139.57498029730047,1,0.2832825938149003,2.0,1,3.0,3.0,89.113,0,3.0,0,0,1,8.87
90,2.0,0,4.0,151.85094580784244,4,0,1,4.0,0.399861967803027,2,9.973775063373644,4.0,0.457172545491352,0.6345384015535137,0,5.0,0.0304945243137902,2,1,-22.016177102616997,0,142.45376593906377,1,0.3455756379843673,4.0,1,3.0,3.0,107.104,0,2.0,0,0,0,6.88
91,4.0,2,2.0,150.72857618829943,4,0,1,4.0,0.5548818237583156,2,10.912166463380728,4.0,15.726838639574725,0.6434731351928402,0,5.0,0.0394587458663534,2,1,-24.67064804733802,1,142.5016656416814,1,0.350868092537376,2.0,1,3.0,3.0,107.104,1,4.0,0,0,1,7.07
92,4.0,2,4.0,155.73990811281797,4,0,1,4.0,0.491753628161599,2,11.274967529684735,4.0,20.53587194258517,0.6567232855549872,0,5.0,0.0416200207217612,2,1,-22.704183876144317,1,142.5055968070226,1,0.2974420681922394,4.0,1,3.0,3.0,107.104,2,2.0,0,0,1,7.11
93,2.0,1,3.0,207.31935309388285,5,0,1,3.0,0.3573665103790597,1,9.75622766551052,3.0,84.25832005942068,0.645894199973592,0,6.0,0.0352959090541384,2,1,-8.281150961172209,1,164.9191521938926,1,0.4256303352809453,3.0,1,3.0,3.0,103.14,0,3.0,0,0,0,8.64
94,2.0,0,2.0,178.614955334622,5,0,1,3.0,0.4648866104648543,2,10.436483359974554,3.0,0.1384142055906764,0.6926840403823622,0,6.0,0.0295299042890045,2,1,-14.808644505170877,0,166.94896391079234,1,0.5365540119148209,3.0,1,3.0,2.0,121.131,0,1.0,0,0,0,6.79
95,4.0,2,3.0,170.58870232884505,5,0,1,4.0,0.3355979104461146,2,9.78325476407208,4.0,135.21581137189577,0.5958611638541483,0,6.0,0.0353620083255451,2,1,-26.17385498046721,1,167.85983291389758,1,0.4256840062098966,3.0,1,3.0,2.0,121.131,1,4.0,0,0,1,6.74
96,4.0,2,1.0,180.872944326762,5,0,1,4.0,0.3946229521607197,2,10.373055601685806,3.0,147.91118561396647,0.6831964398571216,0,6.0,0.0377521986919224,2,1,-23.108202107944877,1,165.87004492008828,1,0.4875236287773297,1.0,1,3.0,2.0,121.131,2,2.0,0,0,1,6.22
97,2.0,0,1.0,212.2175090201453,5,0,1,4.0,0.2519606397614605,1,10.11027537637754,4.0,100.76197594873548,0.632547234909336,0,6.0,0.037088003291576,2,1,-6.510322750299345,1,163.73234359711364,1,0.373076474471931,1.0,1,4.0,3.0,103.14,0,4.0,0,0,0,9.05
98,4.0,2,2.0,174.5274679727577,5,0,1,4.0,0.5480309234502408,2,10.849318737633276,4.0,3.460876318440082,0.6133112772745664,0,6.0,0.0334423140020883,2,1,-16.500640888215067,1,167.30917972827888,1,0.4277938704636387,2.0,1,4.0,3.0,121.131,1,3.0,0,0,1,7.01
99,4.0,2,4.0,169.55472994860017,5,0,1,4.0,0.618962417310473,2,10.456890349443748,4.0,3.9933188289693256,0.6048852251494495,0,6.0,0.0324544780435872,2,1,-17.64055592735245,1,167.60192824171568,1,0.5038342414103265,4.0,1,4.0,3.0,121.131,2,2.0,0,0,0,7.02
100,1.0,0,0.0,267.23994584257974,5,0,0,0.0,0.3656772580463315,3,12.60832566801243,0.0,0.2155472987805934,0.8021762708641615,0,4.0,0.0263063602935108,1,1,-18.68360956118444,0,177.5323426822467,1,0.6440620683941827,0.0,1,0.0,0.0,139.121,0,0.0,0,1,0,5.0
101,1.0,0,0.0,177.51638118995118,5,0,0,0.0,0.4826759236079034,2,11.68951355144836,0.0,3.591881323556819,0.7845863830548403,0,4.0,0.0331889376719305,1,1,-16.548715354538576,1,173.01726511963602,1,0.6742981770333765,0.0,1,0.0,0.0,121.131,0,0.0,0,1,0,6.62
102,1.0,0,0.0,212.3462946532608,5,0,0,0.0,0.4211217250998469,1,10.588537356787626,0.0,107.94043320313074,0.7528912894563484,0,4.0,0.0413547695089655,1,1,-10.255847966615011,1,170.93419650272608,1,0.6313381743476203,0.0,1,0.0,0.0,103.14,0,0.0,0,1,0,8.1
103,0.0,0,0.0,212.11900853686723,4,0,0,0.0,0.1255631133739275,0,8.229384572113114,0.0,66.5338993614678,0.620885553057317,0,4.0,0.0390932285538438,1,1,-5.787850939826724,1,143.91970040436937,1,0.5818641337383454,0.0,1,0.0,0.0,71.123,0,0.0,0,1,0,9.86
104,2.0,0,4.0,257.3946993826072,5,0,0,1.0,0.4867664451417872,3,10.757015452207913,2.0,0.6467219528316652,0.681646595489131,0,4.0,0.0274161933873131,1,1,-22.068807250971357,0,177.0343518047573,1,0.6286986519589063,3.0,1,3.0,3.0,139.121,2,4.0,0,0,0,8.74
105,2.0,0,2.0,259.21829485214454,5,0,0,3.0,0.5516735560958932,3,11.167794354911855,2.0,0.3233609764158326,0.8399202692657585,0,4.0,0.0277385928290803,1,1,-21.41320074098998,0,178.07878195697458,1,0.4558586341783929,4.0,1,2.0,3.0,139.121,1,1.0,0,0,1,8.6
106,2.0,0,4.0,182.3764594399976,5,0,0,1.0,0.4432954483645527,2,11.27524556642071,2.0,5.934032267772815,0.6791973365026861,0,4.0,0.0407207371533958,1,1,-17.322802010158266,1,174.12822659756714,1,0.6886437896866994,3.0,1,3.0,3.0,121.131,2,4.0,0,0,1,9.17
107,2.0,0,1.0,179.47424729705455,5,0,0,1.0,0.5851849426301756,2,11.34064292315827,1.0,8.38676560511891,0.6352917931375318,0,4.0,0.041386226692898,1,1,-17.603459733171345,1,175.80678100667862,1,0.8075708483082029,1.0,1,3.0,2.0,121.131,1,1.0,0,0,0,9.04
108,2.0,0,4.0,202.2806612896816,5,0,0,1.0,0.2883310509624763,1,10.021561497170238,2.0,77.76251690189248,0.7299902848250801,0,4.0,0.0406024371204568,1,1,-10.624672671478624,1,170.87567825897287,1,0.7026105250850945,3.0,1,3.0,3.0,103.14,2,4.0,0,0,0,9.58
