,fold_id,pKa,Smiles
101,1,7.02,F[C@H]1[C@H](F)CNCC1
102,1,5.0,NC1(C(F)(F)F)CCC1
103,0,6.62,NC1(C(F)F)CCC1
106,0,8.74,N[C@@H]1C[C@@H](C(F)(F)F)C1
107,0,8.6,N[C@@H]1C[C@H](C(F)(F)F)C1
108,1,9.17,N[C@@H]1C[C@@H](C(F)(F)[H])C1
109,0,9.04,N[C@@H]1C[C@H](C(F)(F)[H])C1
110,0,9.58,N[C@@H]1C[C@@H](C(F)([H])[H])C1
111,1,9.48,N[C@@H]1C[C@H](C(F)([H])[H])C1
112,1,6.41,FC(F)(F)C1NCCCC1
113,1,7.99,FC([H])(F)C1NCCCC1
114,1,9.52,[H]C([H])(F)C1NCCCC1
115,0,11.12,C1CNCCC1
116,1,6.06,FC(F)(F)C1NCCC1
117,0,7.78,FC([H])(F)C1NCCC1
118,0,9.55,[H]C([H])(F)C1NCCC1
119,0,11.31,C1CNCC1
120,0,5.84,FC(F)(F)C1NCC1
121,1,7.83,FC([H])(F)C1NCC1
122,0,9.67,[H]C([H])(F)C1NCC1
123,1,11.29,C1NCC1
126,0,8.96,NCC([H])(F)[H]
130,0,10.32,FC([H])([H])C1CNCCC1
132,0,9.75,FC([H])(F)C1CNCC1
133,0,10.38,FC([H])([H])C1CNCC1
134,1,8.67,FC(F)(F)C1CNC1
135,0,9.57,FC([H])(F)C1CNC1
136,1,10.05,FC([H])([H])C1CNC1
137,0,8.88,NCCC(F)(F)F
138,0,9.02,NCCC(F)(F)[H]
139,1,10.05,NCCC(F)([H])[H]
140,0,10.75,NCC
141,0,9.6,FC(F)(F)C1CCNCC1
142,1,10.19,[H]C(F)(F)C1CCNCC1
143,1,10.46,[H]C(F)([H])C1CCNCC1
145,1,10.04,NCCCC(F)(F)[H]
146,1,9.74,NCCCC(F)(F)F
147,0,10.03,NCCC
149,1,7.2,FC1(F)CCC1N
150,0,8.37,FC1(F)CC(N)C1
152,1,8.83,FC1(F)CC(N)CC1
153,0,7.45,FC1(F)C(N)CCCC1
155,1,9.45,FC1(F)CCC(N)CC1
156,1,8.13,FC1(F)C(N)CCCCC1
157,1,9.35,FC1(F)CC(N)CCCC1
160,0,9.57,CC(F)(F)CCN
161,1,10.01,NCCCC(F)F
163,0,10.52,NC1CCCC1
164,0,10.69,NC1CCCCCC1
167,0,9.81,NC(C1)CC21CC(F)C2
169,1,7.95,N[C@@H]1CC[C@H]1C(F)(F)F
170,1,8.98,N[C@@H]1CC[C@H]1C(F)([H])F
171,0,9.32,N[C@@H]1CC[C@H]1C([H])([H])F
172,0,7.18,N[C@H]1[C@H](C(F)(F)F)C1
173,1,6.92,N[C@@H]1[C@H](C(F)(F)F)C1
174,1,7.76,N[C@H]1[C@H](C(F)([H])F)C1
175,1,7.16,N[C@@H]1[C@H](C(F)([H])F)C1
176,1,9.44,C[C@@H]1C[C@H]1N
177,1,9.15,C[C@@H]1C[C@@H]1N
180,0,9.41,NC1C2(CC2)C1
182,0,7.44,NC1C2(C(F)(F)C2)C1
