,RPCS,PBF,mol_weight,dipole_moment,PPSA5,avg_atoms_in_cycle,nHRing,cis/trans,FPSA3,nF,chirality,sasa,PNSA5,GeomShapeIndex,TASA,mol_num_cycles,f_freedom,nFRing,identificator,nO,nARing,nC,nFHRing,f_to_fg,fold_id,pKa
24,0.17006595529404764,0.520829608667347,0.6804404242989242,0.9841092547816004,0.8662782982584257,0.0,0.0,0.0,0.8094269760410953,0.6666666666666666,0.0,0.6065675359983613,0.35459721444935743,0.7691928631979419,0.250856243499414,0.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,0.0,0.25,0,4.17
25,0.17230721148318764,0.5529016704777272,0.6804404242989242,0.4018979591396917,0.7823280748621383,0.0,0.0,0.0,1.0412836911527834,0.6666666666666666,0.0,0.5995056249420676,0.19489315721524858,0.7487905022451415,0.10515721472686618,0.0,1.0,0.0,0.0,1.0,0.0,0.49999999999999994,0.0,0.25,0,4.38
26,0.18395677016504294,0.29672675909445534,0.243509956579069,0.2240435267283299,0.718524593239083,0.42857142857142855,0.0,0.0,1.285291114202213,0.0,0.0,0.17614012931267298,0.5775310022603604,0.313940172680835,0.20575920375692985,0.3333333333333333,1.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,4.6
27,0.15336249037219646,0.005106074869599908,0.3613175774983833,0.2746878474439179,0.7499173877263411,0.5714285714285714,0.0,0.0,1.0824128563393094,0.0,0.0,0.41006601586433966,0.6766562312862392,0.8480350558557053,0.33209763273098675,0.3333333333333333,1.0,0.0,0.0,1.0,0.3333333333333333,0.49999999999999994,0.0,0.0,0,4.5
28,0.15887866884648563,0.09939939708019119,0.4791251984176977,0.22822128572722916,0.7684552304910782,0.7142857142857142,0.0,0.0,0.9865244383056693,0.0,0.0,0.5843434899282576,0.7448174459601806,0.9396152774240814,0.4490866785200582,0.3333333333333333,1.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666667,0.0,0.0,1,4.69
29,0.06594994113395541,0.7861319266466642,0.7147404402563262,0.22599120863469402,0.7570535932223653,1.0,0.0,0.0,0.709091407916763,0.0,0.0,1.0005609015997796,0.7969936119826204,0.5644559508082512,0.6633702001440267,0.3333333333333333,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0,5.08
30,0.12197154059700625,0.0918432311491657,0.37824922102681685,0.21887694312104178,0.7397181347387342,0.0,0.0,0.0,0.8914572132260776,0.0,0.0,0.5478328618170776,0.691687945084877,0.5725656153252545,0.4448071531384437,0.0,1.0,0.0,0.0,1.0,0.0,0.49999999999999994,0.0,0.0,1,4.75
31,0.15509205675649085,0.7459930704071109,0.6978087967278925,0.2749597993849155,0.7864634532784925,0.5,0.0,0.0,0.7915793574909382,0.0,0.0,0.9613501764842634,0.7710947908870882,0.9098227994450561,0.6349650523959862,0.6666666666666666,1.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0,4.59
32,0.18811649981771306,0.3209177833295851,0.5965632794980977,0.9078828209833414,1.0580285184970797,0.2857142857142857,1.0,0.0,1.2463802411645841,0.0,0.0,0.5605230401202885,0.5735486642835256,0.9466848188854993,0.33921813090361935,1.0,1.0,1.0,0.0,1.5,1.0,0.6666666666666667,1.0,0.0,1,3.59
33,0.00443460863579007,0.67818601683531,0.9324078040095074,0.7053172046032097,0.7468450375359444,0.5714285714285714,0.0,0.5,0.4711257382891094,1.0,1.0,0.7142315482861772,0.1858664544827383,0.673142244921143,0.6057452731937958,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666667,0.0,0.5,0,3.87
34,0.21001826469191245,0.19244001065805794,0.7813164016898049,0.3165821590460592,0.8296180764955255,0.5714285714285714,0.0,1.0,0.8845969107854135,0.6666666666666666,1.0,0.694526332107867,0.2835117343757011,0.5309369851157149,0.15872729996582086,0.3333333333333333,1.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666667,0.0,0.5,1,4.26
