Unnamed: 0,smiles,logP,sdf_filename,y_category,f_group
131,FC(F)(F)C1CNCC1,1.7,HCWXUWGQMOEJJJ-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CF3
85,C1(CC2)CC2CNC1,2.31,CJQNJRRDTPULTL-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",non-F
109,N[C@@H]1C[C@H](C(F)(F)[H])C1,1.98,VJFAMWLVDBNHLQ-ZXZARUISSA-N_confors.sdf,"(1.465, 2.067]",CHF2
10,FC(F)(F)[C@@H]1C[C@@H](C(O)=O)C1,3.02,ZSULKAPJHICPKB-JPYJGEKTSA-N_confors.sdf,"(2.668, 3.27]",CF3
100,F[C@H]1[C@@H](F)CNCC1,1.15,BQWQIGWFVSNAHY-UHNVWZDZSA-N_confors.sdf,"(0.863, 1.465]",CHF
146,NCCCC(F)(F)F,2.28,LAXWLCVPJLBABV-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",CF3
4,OC([C@H]1C[C@H]2C(F)(F)[C@H]2C1)=O,2.37,IOQVITCQIHHDBC-ZXFHETKHSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
43,FC([H])([H])[C@@H]1CC[C@H]1C(O)=O,2.11,JSBNCJNDZUIZTP-CRCLSJGQSA-N_confors.sdf,"(2.067, 2.668]",CH2F
23,FC1(F)C(C(O)=O)CCCCC1,2.9,RCMLHHJECLLXHA-UHFFFAOYSA-N_confors.sdf,"(2.668, 3.27]",gem-CF2
113,FC([H])(F)C1NCCCC1,2.04,NKADUAIXXKJUDE-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CHF2
179,FC([H])([C@H]1C[C@H]1N)[H],1.12,PIOKPDRPYVKYRL-QWWZWVQMSA-N_confors.sdf,"(0.863, 1.465]",CH2F
125,NCC([H])(F)F,1.37,OVRWUZYZECPJOB-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",CHF2
42,FC(F)([H])[C@@H]1CC[C@H]1C(O)=O,2.22,CTNBXQCALVHSKS-QWWZWVQMSA-N_confors.sdf,"(2.067, 2.668]",CHF2
153,FC1(F)C(N)CCCC1,2.16,KATJLSLKDKAWTG-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",gem-CF2
161,NCCCC(F)F,1.76,UREOFAQFBIQBEZ-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CHF2
64,C1CCCN1,1.19,RWRDLPDLKQPQOW-UHFFFAOYSA-N_confors.sdf,"(0.863, 1.465]",non-F
182,NC1C2(C(F)(F)C2)C1,2.04,NQRQGOPQRXFXSA-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",gem-CF2
48,FC([H])([H])[C@@H]1C[C@H]1C(O)=O,1.12,UGMUWEAHMRSJRQ-IUYQGCFVSA-N_confors.sdf,"(0.863, 1.465]",CH2F
9,O=C(O)C1(C(F)(F)F)CCC1,2.51,HYRCPSRIIWIESW-UHFFFAOYSA-N_confors.sdf,"(2.067, 2.668]",CF3
164,NC1CCCCCC1,3.03,VXVVUHQULXCUPF-UHFFFAOYSA-N_confors.sdf,"(2.668, 3.27]",non-F
145,NCCCC(F)(F)[H],1.76,UREOFAQFBIQBEZ-UHFFFAOYSA-N_confors.sdf,"(1.465, 2.067]",CHF2
