,RPCS,PBF,mol_weight,dipole_moment,PPSA5,avg_atoms_in_cycle,FPSA3,chirality,sasa,PNSA5,GeomShapeIndex,TASA,f_freedom,f_to_fg,angle_R1X1R2,angle_X2X1R1,angle_X1X2R2,angle_R2X2R1,distance_between_atoms_in_cycle_and_f_group,distance_between_atoms_in_f_group_centers,nHRing,cis/trans,nF,mol_num_cycles,nFRing,identificator,nO,nARing,nC,nFHRing,fold_id,pKa
56,1.3417795365892058,-1.1621200994785494,-1.5314227990368823,-1.3436438623518334,-1.111636536191217,1.3421535377361635,-0.007202805711357094,-1.140175425099138,-0.7952135149173916,1.5262319799792923,-2.2145156718221113,0.6579310795695289,0.8563488385776755,-1.5350186552432914,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,2,0,1,5,0,0,11.12
57,-0.8864318686929007,1.414295551979214,2.1008715195337637,0.8740169001738515,0.6119751979062139,0.12485149188243365,-1.6554276953014913,1.140175425099138,1.8488543301077491,0.39645020251804464,-0.48944612841544033,1.917673550292338,-1.1677484162422846,0.6223048602337667,1.0,2.0,1.0,1.0,1.0,1.0,1,0,3,2,1,2,0,2,8,1,1,5.96
58,1.3744710642352753,1.847992556883121,-0.5256624576044259,-1.183776610809176,-1.29780148163995,0.12485149188243365,-0.3533231598721705,1.140175425099138,0.26886490628634324,1.4820893957432892,-2.0941548824877962,0.9930679941760548,0.8563488385776755,-1.5350186552432914,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,2,0,2,7,1,1,10.38
59,-0.8955943154901141,1.9223206626903928,1.40597834254744,1.3904274306396085,-0.14445177660928943,0.4291770033458661,-0.600908995977904,1.140175425099138,1.3435534709600114,0.7862530812178662,-1.5253821517689319,0.551778904999269,-1.1677484162422846,2.779628375710825,1.0,1.0,1.0,1.0,4.0,2.0,1,0,2,2,1,2,0,2,8,1,1,9.41
60,-0.8955943154901141,1.9069704180947278,2.795803323155828,-0.5367113336024038,-0.3306546511689542,0.4291770033458661,-1.4677568836170931,1.140175425099138,1.838162445375019,-1.7629052133110517,-1.024886010996905,-0.5289656401282328,-1.1677484162422846,4.936951891187883,1.0,1.0,1.0,1.0,4.0,2.0,1,0,4,2,1,2,0,2,8,1,1,6.37
61,-0.8955943154901141,2.1205486788747008,1.40597834254744,-0.05556438913130931,-0.48138711930586725,0.4291770033458661,-0.9418848208127524,1.140175425099138,1.587232715431696,0.43569642813831405,-1.7079500524071727,0.4664183374148867,-1.1677484162422846,0.6223048602337667,4.0,4.0,4.0,4.0,4.0,3.0,1,0,2,2,1,2,0,2,8,1,0,7.72
62,1.8693793217474655,2.489732859465817,0.016153361939051723,-1.3809932365757278,-0.7180074357689938,0.4291770033458661,-0.13993721122257075,1.140175425099138,1.4025196682423,1.605516538891921,-2.018253305704924,1.507436950492553,0.8563488385776755,-1.5350186552432914,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,2,0,2,8,1,1,10.86
63,-0.8955943154901141,2.221608732364305,1.4821500682293207,-1.9472124630494305,0.5323539025664322,0.4291770033458661,0.12190552428177978,1.140175425099138,0.7229550749155866,-0.7971142695103907,-1.8460475347064567,0.03881169672460334,-1.1677484162422846,0.6223048602337667,4.0,4.0,4.0,4.0,4.0,4.0,2,0,2,2,1,2,1,2,7,1,0,8.05
64,1.8036998551632426,1.5145153863657277,0.09232508762093199,0.8374431945929939,-0.32481155717834803,0.4291770033458661,0.5492858788934066,1.140175425099138,0.56956845365803,1.2322778966257697,-0.3446954446376721,0.84203386480097,0.8563488385776755,-1.5350186552432914,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2,1,2,1,2,7,1,1,10.4
65,1.4156154259839857,2.0966203998804116,-0.5256624576044259,-1.4130318539234752,-0.8970724473204481,0.12485149188243365,-0.18959175243026316,1.140175425099138,0.5043795488023904,1.5552668033274788,-2.1442621535366766,1.1402323678042534,0.8563488385776755,-1.5350186552432914,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,2,0,2,7,1,1,10.53
66,0.8547561954207581,-1.0923982499664036,-2.6150544381238374,-1.0648507383598202,-1.6848094130188942,0.12485149188243365,0.013772697029935924,-1.140175425099138,-2.780186631123853,1.2810315167854702,-2.4044004178089797,-0.39000407146903915,0.8563488385776755,-1.5350186552432914,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,2,0,1,3,0,0,11.21
