,fold_id,logP,Smiles
156,1,2.56,FC1(F)CCCCCC1NC(=O)C1=CC=CC=C1
157,0,2.57,FC1(F)CCCCC(C1)NC(=O)C1=CC=CC=C1
158,0,2.5,FC1(F)CCCC(CC1)NC(=O)C1=CC=CC=C1
159,1,2.04,CCC(F)(F)CNC(=O)C1=CC=CC=C1
160,1,1.81,CC(F)(F)CCNC(=O)C1=CC=CC=C1
161,1,1.76,FC(F)CCCNC(=O)C1=CC=CC=C1
162,1,1.29,O=C(NC1CC1)C1=CC=CC=C1
163,0,2.23,O=C(NC1CCCC1)C1=CC=CC=C1
164,0,3.03,O=C(NC1CCCCCC1)C1=CC=CC=C1
165,1,2.23,CCCCNC(=O)C1=CC=CC=C1
166,0,3.26,O=C(NC1CC2(CCC2)C1)C1=CC=CC=C1
168,1,2.53,FC1(F)CC2(CC(C2)NC(=O)C2=CC=CC=C2)C1
169,0,2.54,FC(F)(F)[C@@H]1CC[C@H]1NC(=O)C1=CC=CC=C1
172,0,1.79,FC(F)(F)[C@@H]1C[C@H]1NC(=O)C1=CC=CC=C1
173,1,2.16,FC(F)(F)[C@@H]1C[C@@H]1NC(=O)C1=CC=CC=C1
174,1,1.64,[H]C(F)(F)[C@@H]1C[C@H]1NC(=O)C1=CC=CC=C1
175,1,1.36,[H]C(F)(F)[C@@H]1C[C@@H]1NC(=O)C1=CC=CC=C1
176,0,1.83,C[C@@H]1C[C@H]1NC(=O)C1=CC=CC=C1
177,0,1.64,C[C@@H]1C[C@@H]1NC(=O)C1=CC=CC=C1
180,1,2.08,O=C(NC1CC11CC1)C1=CC=CC=C1
182,0,2.04,FC1(F)CC11CC1NC(=O)C1=CC=CC=C1
